matchId,date,year,stage,homeTeam,awayTeam,actualOutcome,homeScore,awayScore,elo_homeWin,elo_draw,elo_awayWin,elo_xgHome,elo_xgAway,elo_confidence,elo_correct,ml_homeWin,ml_draw,ml_awayWin,ml_xgHome,ml_xgAway,ml_confidence,ml_correct,ensemble_homeWin,ensemble_draw,ensemble_awayWin,ensemble_xgHome,ensemble_xgAway,ensemble_confidence,ensemble_correct
wc2026-ghana-panama,2026-06-17,2026,Group L,Ghana,Panama,HOME,1,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.2977,0.2255,0.4768,1.93,1.62,0.4768,0,0.3149,0.2449,0.4402,1.76,1.54,0.4402,0
wc2026-czech-republic-south-africa,2026-06-18,2026,Group A,Czech Republic,South Africa,DRAW,1,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.4818,0.214,0.3042,3.54,1.76,0.4818,0,0.4438,0.2368,0.3194,2.88,1.64,0.4438,0
wc2026-mexico-south-korea,2026-06-18,2026,Group A,Mexico,South Korea,HOME,1,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.5077,0.2433,0.249,2.91,1.61,0.5077,1,0.4619,0.2573,0.2807,2.44,1.53,0.4619,1
wc2026-canada-qatar,2026-06-18,2026,Group B,Canada,Qatar,HOME,6,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.6612,0.1971,0.1417,2.77,0.87,0.6612,1,0.5694,0.225,0.2056,2.34,1.01,0.5694,1
wc2026-switzerland-bosnia-and-herzegovina,2026-06-18,2026,Group B,Switzerland,Bosnia & Herzegovina,HOME,4,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.4923,0.2454,0.2623,2.7,1.6,0.4923,1,0.4511,0.2588,0.29,2.3,1.52,0.4511,1
wc2026-brazil-haiti,2026-06-19,2026,Group C,Brazil,Haiti,HOME,3,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.7845,0.134,0.0815,3.3,0.88,0.7845,1,0.6557,0.1808,0.1635,2.72,1.02,0.6557,1
wc2026-scotland-morocco,2026-06-19,2026,Group C,Scotland,Morocco,AWAY,0,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.2566,0.2227,0.5207,1.51,1.84,0.5207,1,0.2862,0.2429,0.4709,1.46,1.69,0.4709,1
wc2026-turkey-paraguay,2026-06-19,2026,Group D,Turkey,Paraguay,AWAY,0,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.4688,0.2013,0.3299,3.59,1.44,0.4688,0,0.4347,0.2279,0.3374,2.92,1.41,0.4347,0
wc2026-usa-australia,2026-06-19,2026,Group D,USA,Australia,HOME,2,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.554,0.2378,0.2082,2.66,1.2,0.554,1,0.4943,0.2535,0.2522,2.27,1.24,0.4943,1
wc2026-ecuador-curacao,2026-06-20,2026,Group E,Ecuador,Curaçao,DRAW,0,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.479,0.2367,0.2843,2.55,1.65,0.479,0,0.4418,0.2527,0.3055,2.19,1.56,0.4418,0
wc2026-germany-ivory-coast,2026-06-20,2026,Group E,Germany,Ivory Coast,HOME,2,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.5123,0.2407,0.247,2.8,1.56,0.5123,1,0.4651,0.2555,0.2793,2.37,1.5,0.4651,1
wc2026-netherlands-sweden,2026-06-20,2026,Group F,Netherlands,Sweden,HOME,5,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.6917,0.1954,0.1129,2.68,0.85,0.6917,1,0.5907,0.2238,0.1855,2.28,1,0.5907,1
wc2026-tunisia-japan,2026-06-20,2026,Group F,Tunisia,Japan,AWAY,0,4,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.3161,0.2224,0.4615,2.09,1.76,0.4615,1,0.3278,0.2427,0.4295,1.87,1.64,0.4295,1
wc2026-belgium-iran,2026-06-21,2026,Group G,Belgium,Iran,DRAW,0,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.644,0.2044,0.1516,2.73,1.09,0.644,0,0.5573,0.2301,0.2126,2.32,1.17,0.5573,0
wc2026-new-zealand-egypt,2026-06-21,2026,Group G,New Zealand,Egypt,AWAY,1,3,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.4534,0.2066,0.34,3.58,1.52,0.4534,0,0.4239,0.2316,0.3444,2.91,1.47,0.4239,0
wc2026-spain-saudi-arabia,2026-06-21,2026,Group H,Spain,Saudi Arabia,HOME,4,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.5262,0.2336,0.2402,2.82,1.52,0.5262,1,0.4749,0.2505,0.2746,2.38,1.47,0.4749,1
wc2026-uruguay-cape-verde,2026-06-21,2026,Group H,Uruguay,Cape Verde,DRAW,2,2,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.4973,0.2463,0.2564,2.7,1.6,0.4973,0,0.4546,0.2594,0.2859,2.3,1.52,0.4546,0
wc2026-france-iraq,2026-06-22,2026,Group I,France,Iraq,HOME,3,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.7431,0.154,0.1029,3.27,0.81,0.7431,1,0.6267,0.1948,0.1785,2.69,0.97,0.6267,1
wc2026-norway-senegal,2026-06-22,2026,Group I,Norway,Senegal,HOME,3,2,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.3563,0.2178,0.4259,2.32,1.66,0.4259,0,0.3559,0.2395,0.4046,2.03,1.57,0.4046,0
wc2026-argentina-austria,2026-06-22,2026,Group J,Argentina,Austria,HOME,2,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.7202,0.1632,0.1166,2.74,0.92,0.7202,1,0.6107,0.2012,0.1881,2.32,1.05,0.6107,1
wc2026-jordan-algeria,2026-06-22,2026,Group J,Jordan,Algeria,AWAY,1,2,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.3009,0.2292,0.4699,1.87,1.58,0.4699,1,0.3172,0.2474,0.4354,1.71,1.51,0.4354,1
wc2026-colombia-dr-congo,2026-06-23,2026,Group K,Colombia,DR Congo,HOME,1,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.8043,0.1274,0.0683,4,1.01,0.8043,1,0.6695,0.1762,0.1543,3.21,1.11,0.6695,1
wc2026-portugal-uzbekistan,2026-06-23,2026,Group K,Portugal,Uzbekistan,HOME,5,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.71,0.1738,0.1162,2.63,0.8,0.71,1,0.6035,0.2087,0.1878,2.25,0.96,0.6035,1
wc2026-england-ghana,2026-06-23,2026,Group L,England,Ghana,DRAW,0,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.7787,0.1359,0.0854,3.14,0.79,0.7787,0,0.6516,0.1821,0.1662,2.6,0.96,0.6516,0
wc2026-panama-croatia,2026-06-23,2026,Group L,Panama,Croatia,AWAY,0,1,0.3551,0.29,0.3548,1.35,1.35,0.3551,0,0.3212,0.2101,0.4687,2.23,1.98,0.4687,1,0.3314,0.2341,0.4345,1.97,1.79,0.4345,1
wc2026-mexico-czech-republic,2026-06-24,2026,Group A,Mexico,Czech Republic,HOME,3,0,0.3551,0.29,0.3548,1.35,1.35,0.3551,1,0.5077,0.2433,0.249,2.91,1.61,0.5077,1,0.4619,0.2573,0.2807,2.44,1.53,0.4619,1
