matchId,date,year,stage,homeTeam,awayTeam,actualOutcome,homeScore,awayScore,eloDiff,elo_homeWin,elo_draw,elo_awayWin,elo_xgHome,elo_xgAway,elo_confidence,elo_correct,ml_homeWin,ml_draw,ml_awayWin,ml_xgHome,ml_xgAway,ml_confidence,ml_correct,ensemble_homeWin,ensemble_draw,ensemble_awayWin,ensemble_xgHome,ensemble_xgAway,ensemble_confidence,ensemble_correct
wc2026-mexico-south-africa,2026-06-11,2026,Group A,Mexico,South Africa,HOME,2,0,273,0.6818,0.2183,0.0999,2.03,0.67,0.6818,1,0.5057,0.2473,0.247,2.91,1.61,0.5057,1,0.5585,0.2386,0.2029,2.65,1.33,0.5585,1
wc2026-south-korea-czech-republic,2026-06-11,2026,Group A,South Korea,Czech Republic,HOME,2,1,106,0.4814,0.2784,0.2402,1.61,1.09,0.4814,1,0.4806,0.2165,0.3029,3.54,1.76,0.4806,1,0.4808,0.2351,0.2841,2.96,1.56,0.4808,1
wc2026-canada-bosnia-and-herzegovina,2026-06-12,2026,Group B,Canada,Bosnia & Herzegovina,DRAW,1,1,122,0.5006,0.2748,0.2246,1.65,1.05,0.5006,0,0.4827,0.2307,0.2866,2.92,1.82,0.4827,0,0.4881,0.2439,0.268,2.54,1.59,0.4881,0
wc2026-usa-paraguay,2026-06-12,2026,Group D,USA,Paraguay,HOME,4,1,142,0.5253,0.2694,0.2053,1.7,1,0.5253,1,0.6506,0.2232,0.1262,2.6,0.91,0.6506,1,0.613,0.2371,0.1499,2.33,0.94,0.613,1
wc2026-qatar-switzerland,2026-06-13,2026,Group B,Qatar,Switzerland,DRAW,1,1,-269,0.1023,0.2201,0.6776,0.68,2.02,0.6776,0,0.2609,0.2279,0.5112,1.81,1.84,0.5112,0,0.2133,0.2256,0.5611,1.47,1.89,0.5611,0
wc2026-brazil-morocco,2026-06-13,2026,Group C,Brazil,Morocco,DRAW,1,1,41,0.4033,0.2882,0.3085,1.45,1.25,0.4033,0,0.4386,0.2644,0.297,2.71,1.38,0.4386,0,0.428,0.2715,0.3005,2.33,1.34,0.428,0
wc2026-haiti-scotland,2026-06-13,2026,Group C,Haiti,Scotland,AWAY,0,1,-141,0.206,0.2696,0.5244,1,1.7,0.5244,1,0.2929,0.2474,0.4597,1.77,1.5,0.4597,1,0.2668,0.2541,0.4791,1.54,1.56,0.4791,1
wc2026-germany-curacao,2026-06-14,2026,Group E,Germany,Curaçao,HOME,7,1,351,0.7675,0.1776,0.0549,2.23,0.47,0.7675,1,0.5101,0.2451,0.2448,2.8,1.56,0.5101,1,0.5873,0.2249,0.1878,2.63,1.23,0.5873,1
wc2026-ivory-coast-ecuador,2026-06-14,2026,Group E,Ivory Coast,Ecuador,HOME,1,0,-56,0.2924,0.2868,0.4209,1.21,1.49,0.4209,0,0.4468,0.2097,0.3435,3.58,1.6,0.4468,1,0.4005,0.2328,0.3667,2.87,1.57,0.4005,1
wc2026-netherlands-japan,2026-06-14,2026,Group F,Netherlands,Japan,DRAW,2,2,88,0.4597,0.282,0.2583,1.57,1.13,0.4597,0,0.5937,0.219,0.1873,2.88,1.13,0.5937,0,0.5535,0.2379,0.2086,2.49,1.13,0.5535,0
wc2026-sweden-tunisia,2026-06-14,2026,Group F,Sweden,Tunisia,HOME,5,1,104,0.4796,0.2787,0.2417,1.61,1.09,0.4796,1,0.5334,0.2219,0.2447,2.81,0.99,0.5334,1,0.5173,0.2389,0.2438,2.45,1.02,0.5173,1
wc2026-belgium-egypt,2026-06-15,2026,Group G,Belgium,Egypt,DRAW,1,1,165,0.5532,0.2625,0.1844,1.76,0.94,0.5532,0,0.6657,0.2047,0.1296,2.77,0.94,0.6657,0,0.632,0.222,0.146,2.47,0.94,0.632,0
wc2026-iran-new-zealand,2026-06-15,2026,Group G,Iran,New Zealand,DRAW,2,2,162,0.5499,0.2633,0.1868,1.75,0.95,0.5499,0,0.4804,0.2458,0.2738,2.65,1.65,0.4804,0,0.5013,0.2511,0.2477,2.38,1.44,0.5013,0
wc2026-saudi-arabia-uruguay,2026-06-15,2026,Group H,Saudi Arabia,Uruguay,DRAW,1,1,-139,0.2082,0.2703,0.5216,1,1.7,0.5216,0,0.44,0.2119,0.3481,3.63,1.63,0.44,0,0.3705,0.2294,0.4002,2.84,1.65,0.4002,0
wc2026-spain-cape-verde,2026-06-15,2026,Group H,Spain,Cape Verde,DRAW,0,0,386,0.8037,0.1574,0.0389,2.32,0.38,0.8037,0,0.524,0.238,0.238,2.82,1.52,0.524,0,0.6079,0.2138,0.1783,2.67,1.18,0.6079,0
wc2026-france-senegal,2026-06-16,2026,Group I,France,Senegal,HOME,3,1,238,0.642,0.2341,0.1239,1.95,0.75,0.642,1,0.6876,0.1778,0.1346,2.86,0.95,0.6876,1,0.6739,0.1947,0.1314,2.59,0.89,0.6739,1
wc2026-iraq-norway,2026-06-16,2026,Group I,Iraq,Norway,AWAY,1,4,-342,0.0592,0.1824,0.7584,0.5,2.21,0.7584,1,0.3482,0.2652,0.3866,2.08,1.47,0.3866,1,0.2615,0.2404,0.4981,1.6,1.69,0.4981,1
wc2026-argentina-algeria,2026-06-16,2026,Group J,Argentina,Algeria,HOME,3,0,294,0.7061,0.2077,0.0862,2.09,0.62,0.7061,1,0.708,0.1749,0.1171,2.63,1,0.708,1,0.7074,0.1847,0.1078,2.47,0.88,0.7074,1
wc2026-austria-jordan,2026-06-16,2026,Group J,Austria,Jordan,HOME,3,1,189,0.5832,0.2539,0.1629,1.82,0.88,0.5832,1,0.7102,0.1746,0.1152,2.42,0.89,0.7102,1,0.6721,0.1984,0.1295,2.24,0.89,0.6721,1
wc2026-portugal-dr-congo,2026-06-17,2026,Group K,Portugal,DR Congo,DRAW,1,1,286,0.6972,0.2117,0.0911,2.07,0.63,0.6972,0,0.8043,0.1279,0.0678,3.71,0.9,0.8043,0,0.7722,0.153,0.0748,3.22,0.82,0.7722,0
