matchId,date,year,stage,homeTeam,awayTeam,actualOutcome,homeScore,awayScore,eloDiff,elo_homeWin,elo_draw,elo_awayWin,elo_xgHome,elo_xgAway,elo_confidence,elo_correct,ml_homeWin,ml_draw,ml_awayWin,ml_xgHome,ml_xgAway,ml_confidence,ml_correct,ensemble_homeWin,ensemble_draw,ensemble_awayWin,ensemble_xgHome,ensemble_xgAway,ensemble_confidence,ensemble_correct
wc2026-england-croatia,2026-06-17,2026,Group L,England,Croatia,HOME,4,2,162,0.5504,0.2632,0.1864,1.76,0.94,0.5504,1,0.6094,0.2066,0.184,2.8,1.34,0.6094,1,0.5917,0.2236,0.1847,2.49,1.22,0.5917,1
wc2026-ghana-panama,2026-06-17,2026,Group L,Ghana,Panama,HOME,1,0,90,0.4624,0.2816,0.256,1.58,1.12,0.4624,1,0.2942,0.2325,0.4733,1.93,1.62,0.4733,0,0.3447,0.2472,0.4081,1.82,1.47,0.4081,0
wc2026-czech-republic-south-africa,2026-06-18,2026,Group A,Czech Republic,South Africa,DRAW,1,1,31,0.3913,0.289,0.3197,1.43,1.27,0.3913,0,0.4806,0.2165,0.3029,3.54,1.76,0.4806,0,0.4538,0.2383,0.3079,2.91,1.61,0.4538,0
wc2026-mexico-south-korea,2026-06-18,2026,Group A,Mexico,South Korea,HOME,1,0,155,0.5421,0.2654,0.1926,1.74,0.96,0.5421,1,0.5057,0.2473,0.247,2.91,1.61,0.5057,1,0.5166,0.2527,0.2307,2.56,1.42,0.5166,1
wc2026-canada-qatar,2026-06-18,2026,Group B,Canada,Qatar,HOME,6,0,175,0.566,0.259,0.1751,1.79,0.91,0.566,1,0.6588,0.202,0.1392,2.77,0.87,0.6588,1,0.631,0.2191,0.15,2.48,0.88,0.631,1
wc2026-switzerland-bosnia-and-herzegovina,2026-06-18,2026,Group B,Switzerland,Bosnia & Herzegovina,HOME,4,1,237,0.64,0.2349,0.1252,1.94,0.76,0.64,1,0.49,0.2499,0.2601,2.7,1.6,0.49,1,0.535,0.2454,0.2196,2.47,1.35,0.535,1
wc2026-brazil-haiti,2026-06-19,2026,Group C,Brazil,Haiti,HOME,3,0,457,0.8474,0.1285,0.0241,2.49,0.3,0.8474,1,0.7827,0.1375,0.0798,3.3,0.88,0.7827,1,0.8021,0.1348,0.0631,3.06,0.71,0.8021,1
wc2026-scotland-morocco,2026-06-19,2026,Group C,Scotland,Morocco,AWAY,0,1,-232,0.1291,0.2371,0.6337,0.77,1.93,0.6337,1,0.2528,0.2303,0.5169,1.51,1.84,0.5169,1,0.2157,0.2323,0.5519,1.29,1.87,0.5519,1
wc2026-turkey-paraguay,2026-06-19,2026,Group D,Turkey,Paraguay,AWAY,0,1,22,0.3804,0.2895,0.3301,1.4,1.3,0.3804,0,0.4675,0.204,0.3285,3.59,1.44,0.4675,0,0.4414,0.2297,0.329,2.93,1.4,0.4414,0
wc2026-usa-australia,2026-06-19,2026,Group D,USA,Australia,HOME,2,0,97,0.4703,0.2803,0.2494,1.59,1.11,0.4703,1,0.5514,0.243,0.2056,2.66,1.2,0.5514,1,0.5271,0.2542,0.2187,2.34,1.17,0.5271,1
wc2026-ecuador-curacao,2026-06-20,2026,Group E,Ecuador,Curaçao,DRAW,0,0,253,0.6586,0.2277,0.1136,1.98,0.72,0.6586,0,0.4766,0.2416,0.2818,2.55,1.65,0.4766,0,0.5312,0.2374,0.2313,2.38,1.37,0.5312,0
wc2026-germany-ivory-coast,2026-06-20,2026,Group E,Germany,Ivory Coast,HOME,2,1,160,0.548,0.2638,0.1881,1.75,0.95,0.548,1,0.5101,0.2451,0.2448,2.8,1.56,0.5101,1,0.5215,0.2507,0.2278,2.49,1.38,0.5215,1
wc2026-netherlands-sweden,2026-06-20,2026,Group F,Netherlands,Sweden,HOME,5,1,155,0.5421,0.2654,0.1926,1.74,0.96,0.5421,1,0.6891,0.2006,0.1103,2.68,0.85,0.6891,1,0.645,0.22,0.135,2.4,0.88,0.645,1
wc2026-tunisia-japan,2026-06-20,2026,Group F,Tunisia,Japan,AWAY,0,4,-172,0.1779,0.2601,0.562,0.92,1.78,0.562,1,0.3131,0.2285,0.4584,2.09,1.76,0.4584,1,0.2725,0.238,0.4895,1.74,1.77,0.4895,1
wc2026-belgium-iran,2026-06-21,2026,Group G,Belgium,Iran,DRAW,0,0,145,0.5289,0.2686,0.2026,1.71,0.99,0.5289,0,0.6414,0.2095,0.1491,2.73,1.09,0.6414,0,0.6077,0.2272,0.1652,2.42,1.06,0.6077,0
wc2026-new-zealand-egypt,2026-06-21,2026,Group G,New Zealand,Egypt,AWAY,1,3,-140,0.2067,0.2699,0.5234,1,1.7,0.5234,1,0.4521,0.2092,0.3387,3.58,1.52,0.4521,0,0.3785,0.2274,0.3941,2.81,1.57,0.3941,1
wc2026-spain-saudi-arabia,2026-06-21,2026,Group H,Spain,Saudi Arabia,HOME,4,0,357,0.7747,0.1737,0.0516,2.24,0.46,0.7747,1,0.524,0.238,0.238,2.82,1.52,0.524,1,0.5992,0.2187,0.1821,2.65,1.2,0.5992,1
wc2026-uruguay-cape-verde,2026-06-21,2026,Group H,Uruguay,Cape Verde,DRAW,2,2,176,0.5667,0.2588,0.1745,1.79,0.91,0.5667,0,0.4951,0.2508,0.2541,2.7,1.6,0.4951,0,0.5166,0.2532,0.2302,2.43,1.39,0.5166,0
wc2026-france-iraq,2026-06-22,2026,Group I,France,Iraq,HOME,3,0,460,0.8485,0.1276,0.0239,2.5,0.3,0.8485,1,0.7414,0.1575,0.1011,3.27,0.81,0.7414,1,0.7735,0.1485,0.0779,3.04,0.66,0.7735,1
wc2026-norway-senegal,2026-06-22,2026,Group I,Norway,Senegal,HOME,3,2,99,0.4735,0.2798,0.2467,1.6,1.1,0.4735,1,0.3535,0.2235,0.423,2.32,1.66,0.423,0,0.3895,0.2404,0.3701,2.1,1.49,0.3895,1
wc2026-argentina-austria,2026-06-22,2026,Group J,Argentina,Austria,HOME,2,0,274,0.6835,0.2176,0.0989,2.04,0.66,0.6835,1,0.7177,0.1683,0.114,2.74,0.92,0.7177,1,0.7074,0.1831,0.1095,2.53,0.84,0.7074,1
wc2026-jordan-algeria,2026-06-22,2026,Group J,Jordan,Algeria,AWAY,1,2,-170,0.1798,0.2608,0.5594,0.93,1.77,0.5594,1,0.2973,0.2365,0.4662,1.87,1.58,0.4662,1,0.2621,0.2438,0.4942,1.59,1.64,0.4942,1
wc2026-colombia-dr-congo,2026-06-23,2026,Group K,Colombia,DR Congo,HOME,1,0,232,0.634,0.237,0.1289,1.93,0.77,0.634,1,0.8032,0.1296,0.0672,4,1.01,0.8032,1,0.7524,0.1618,0.0857,3.38,0.94,0.7524,1
